id,"date","label","value"
139,"2011-07-01","Notes (L)","65.9990"
140,"2011-08-01","Notes (L)","274.0570"
141,"2011-09-01","Notes (L)","166.4230"
142,"2011-10-01","Notes (L)","155.7640"
143,"2011-11-01","Notes (L)","175.2650"
144,"2011-12-01","Notes (L)","66.9380"
145,"2012-01-01","Notes (L)","275.1130"
146,"2012-02-01","Notes (L)","163.2260"
147,"2012-03-01","Notes (L)","69.6740"
148,"2012-04-01","Notes (L)","282.0820"
149,"2012-05-01","Notes (L)","171.5020"
150,"2012-06-01","Notes (L)","56.7420"
151,"2012-07-01","Notes (L)","267.0090"
152,"2012-08-01","Notes (L)","168.9970"
153,"2012-09-01","Notes (L)","65.9980"
154,"2012-10-01","Notes (L)","250.9990"
155,"2012-11-01","Notes (L)","167.9990"
156,"2012-12-01","Notes (L)","166.0000"
157,"2013-01-01","Notes (L)","166.9980"
158,"2013-02-01","Notes (L)","154.9990"
159,"2013-03-01","Notes (L)","66.0000"
160,"2013-04-01","Notes (L)","269.0010"
161,"2013-05-01","Notes (L)","167.9890"
162,"2013-06-01","Notes (L)","52.9980"
163,"2013-07-01","Notes (L)","266.0020"
164,"2013-08-01","Notes (L)","71.9990"
165,"2013-09-01","Notes (L)","260.0000"
166,"2013-10-01","Notes (L)","147.0000"
167,"2013-11-01","Notes (L)","67.0000"
168,"2013-12-01","Notes (L)","258.9970"
169,"2014-01-01","Notes (L)","176.9940"
170,"2014-02-01","Notes (L)","163.2670"
171,"2014-03-01","Notes (L)","173.0000"
172,"2014-04-01","Notes (L)","179.9980"
173,"2014-05-01","Notes (L)","78.9690"
174,"2014-06-01","Notes (L)","251.0360"
175,"2014-07-01","Notes (L)","171.0300"
176,"2014-08-01","Notes (L)","79.9990"
177,"2014-09-01","Notes (L)","260.0000"
178,"2014-10-01","Notes (L)","155.9920"
179,"2014-11-01","Notes (L)","76.0660"
180,"2014-12-01","Notes (L)","257.9990"
181,"2015-01-01","Notes (L)","60.0000"
182,"2015-02-01","Notes (L)","166.0010"
183,"2015-03-01","Notes (L)","250.9930"
184,"2015-04-01","Notes (L)","168.4490"
185,"2015-05-01","Notes (L)","75.0840"
186,"2015-06-01","Notes (L)","237.9940"
187,"2015-07-01","Notes (L)","164.9800"
188,"2015-08-01","Notes (L)","167.9640"
189,"2015-09-01","Notes (L)","161.0010"
190,"2015-10-01","Notes (L)","45.0000"
191,"2015-11-01","Notes (L)","269.2440"
192,"2015-12-01","Notes (L)","163.9920"
193,"2016-01-01","Notes (L)","59.9980"
194,"2016-02-01","Notes (L)","288.0900"
195,"2016-03-01","Notes (L)","179.5870"
