Date,"Synthetic 10-Year Yield","Synthetic 2-Year Yield","Synthetic 5-Year Yield"
1971-04-02,0.027946096424007,0.02,0.025507490008257
1971-04-09,0.027946096424007,0.02,0.025507490008257
1971-04-16,0.027946096424007,0.02,0.025507490008257
1971-04-23,0.027946096424007,0.02,0.025507490008257
1971-04-30,0.027946096424007,0.02,0.025507490008257
1971-05-07,0.027946096424007,0.02,0.025507490008257
1971-05-14,0.027946096424007,0.02,0.025507490008257
1971-05-21,0.027946096424007,0.02,0.025507490008257
1971-05-28,0.027946096424007,0.02,0.025507490008257
1971-06-04,0.027946096424007,0.02,0.025507490008257
1971-06-11,0.027946096424007,0.02,0.025507490008257
1971-06-18,0.027946096424007,0.02,0.025507490008257
1971-06-25,0.027946096424007,0.02,0.025507490008257
1971-07-02,0.027946096424007,0.02,0.025507490008257
1971-07-09,0.027946096424007,0.02,0.025507490008257
1971-07-16,0.027946096424007,0.02,0.025507490008257
1971-07-23,0.027946096424007,0.02,0.025507490008257
1971-07-30,0.027946096424007,0.02,0.025507490008257
1971-08-06,0.027946096424007,0.02,0.025507490008257
1971-08-13,0.027946096424007,0.02,0.025507490008257
1971-08-20,0.027946096424007,0.02,0.025507490008257
1971-08-27,0.027946096424007,0.02,0.025507490008257
1971-09-03,0.027946096424007,0.02,0.025507490008257
1971-09-10,0.027946096424007,0.02,0.025507490008257
1971-09-17,0.027946096424007,0.02,0.025507490008257
1971-09-24,0.027946096424007,0.02,0.025507490008257
1971-10-01,0.027946096424007,0.02,0.025507490008257
1971-10-08,0.027946096424007,0.02,0.025507490008257
1971-10-15,0.027946096424007,0.02,0.025507490008257
1971-10-22,0.027946096424007,0.02,0.025507490008257
1971-10-29,0.027946096424007,0.02,0.025507490008257
1971-11-05,0.027946096424007,0.02,0.025507490008257
1971-11-12,0.027946096424007,0.02,0.025507490008257
1971-11-19,0.027946096424007,0.02,0.025507490008257
1971-11-26,0.027946096424007,0.02,0.025507490008257
1971-12-03,0.027946096424007,0.02,0.025507490008257
1971-12-10,0.027946096424007,0.02,0.025507490008257
1971-12-17,0.027946096424007,0.02,0.025507490008257
1971-12-24,0.027946096424007,0.02,0.025507490008257
1971-12-31,0.027946096424007,0.02,0.025507490008257
1972-01-07,0.027946096424007,0.02,0.025507490008257
1972-01-14,0.027946096424007,0.02,0.025507490008257
1972-01-21,0.027946096424007,0.02,0.025507490008257
1972-01-28,0.027946096424007,0.02,0.025507490008257
1972-02-04,0.027946096424007,0.02,0.025507490008257
1972-02-11,0.027946096424007,0.02,0.025507490008257
1972-02-18,0.027946096424007,0.02,0.025507490008257
1972-02-25,0.027946096424007,0.02,0.025507490008257
1972-03-03,0.027946096424007,0.02,0.025507490008257
1972-03-10,0.027946096424007,0.02,0.025507490008257
1972-03-17,0.027946096424007,0.02,0.025507490008257
1972-03-24,0.027946096424007,0.02,0.025507490008257
1972-03-31,0.027946096424007,0.02,0.025507490008257
1972-04-07,0.027946096424007,0.02,0.025507490008257
1972-04-14,0.027946096424007,0.02,0.025507490008257
1972-04-21,0.027946096424007,0.02,0.025507490008257
1972-04-28,0.027946096424007,0.02,0.025507490008257
1972-05-05,0.027946096424007,0.02,0.025507490008257
1972-05-12,0.027946096424007,0.02,0.025507490008257
1972-05-19,0.027946096424007,0.02,0.025507490008257
1972-05-26,0.027946096424007,0.02,0.025507490008257
1972-06-02,0.027946096424007,0.02,0.025507490008257
1972-06-09,0.027946096424007,0.02,0.025507490008257
1972-06-16,0.027946096424007,0.02,0.025507490008257
1972-06-23,0.027946096424007,0.02,0.025507490008257
1972-06-30,0.027946096424007,0.02,0.025507490008257
1972-07-07,0.027946096424007,0.02,0.025507490008257
1972-07-14,0.027946096424007,0.02,0.025507490008257
1972-07-21,0.027946096424007,0.02,0.025507490008257
1972-07-28,0.027946096424007,0.02,0.025507490008257
1972-08-04,0.027946096424007,0.02,0.025507490008257
1972-08-11,0.027946096424007,0.02,0.025507490008257
1972-08-18,0.027946096424007,0.02,0.025507490008257
1972-08-25,0.027946096424007,0.02,0.025507490008257
1972-09-01,0.027946096424007,0.02,0.025507490008257
1972-09-08,0.027946096424007,0.02,0.025507490008257
1972-09-15,0.027946096424007,0.02,0.025507490008257
1972-09-22,0.027946096424007,0.02,0.025507490008257
1972-09-29,0.027946096424007,0.02,0.025507490008257
1972-10-06,0.027946096424007,0.02,0.025507490008257
1972-10-13,0.027946096424007,0.02,0.025507490008257
1972-10-20,0.027946096424007,0.02,0.025507490008257
1972-10-27,0.027946096424007,0.02,0.025507490008257
1972-11-03,0.027946096424007,0.02,0.025507490008257
1972-11-10,0.027946096424007,0.02,0.025507490008257
1972-11-17,0.027946096424007,0.02,0.025507490008257
1972-11-24,0.027946096424007,0.02,0.025507490008257
1972-12-01,0.027946096424007,0.02,0.025507490008257
1972-12-08,0.027946096424007,0.02,0.025507490008257
1972-12-15,0.027946096424007,0.02,0.025507490008257
1972-12-22,0.027946096424007,0.02,0.025507490008257
1972-12-29,0.027946096424007,0.02,0.025507490008257
1973-01-05,0.027946096424007,0.02,0.025507490008257
1973-01-12,0.027946096424007,0.02,0.025507490008257
1973-01-19,0.027946096424007,0.02,0.025507490008257
1973-01-26,0.027946096424007,0.02,0.025507490008257
1973-02-02,0.027946096424007,0.02,0.025507490008257
1973-02-09,0.027946096424007,0.02,0.025507490008257
1973-02-16,0.027946096424007,0.02,0.025507490008257
1973-02-23,0.027946096424007,0.02,0.025507490008257
1973-03-02,0.027946096424007,0.02,0.025507490008257
